id,sentence,labels
2526,DEAN FOODS lt DF SEES STRONG 4TH QTR EARNINGS Dean Foods Co expects earnings fourth quarter May 30 exceed ago period Chairman Kenneth Douglas told analysts In fiscal 1986 fourth quarter food processor reported earnings 40 cts share Douglas sales exceed 1.4 billion dlrs 1.27 billion dlrs prior He repeated earlier projection quarter earnings 40 cts share falling range 34 cts 36 cts share Douglas project anticipated fourth quarter performance exceed prior earnings 1.53 dlrs share In 1988 Douglas Dean experience 20 pct improvement bottom effects tax reform President Howard Dean fiscal 1988 company derive benefits dairy frozen vegetable acquisitions Ryan Milk Larsen Co Dean company benefit acquisition late December Elgin Blenders Inc West Chicago He company major shareholder Foods Ltd United Kingdom blender licensing arrangements Australia Canada Brazil Japan It ann entry McDonalds Corp lt MCD ve Douglas told analysts,"60,"
2938,HOUSE 92 PLAN SEEN SCALED BACK TO 1987 WHEAT Key House Agriculture committee agreed scale 92 provision pending disaster aid bill cover 1987 crop wheat broader 92 proposal resurrected Congressional sources The sources key lawmakers including Reps Glenn English Okla Dan Glickman Kan agreed support amendment offered week Rep Charles Stenholm Tex limit 92 producers 1987 crop winter spring wheat This scale 92 provision original proposal English allowing pilot 92 program 1987 wheat That provision broadened subcommittee 1988 crop winter wheat Under 92 farmer forego planting crop collect 92 pct deficiency payments Earlier House Agriculture committee postponed Tuesday meeting disaster aid bill 92 The agreement limit 92 wheat pilot program vocal criticism proposal influential farm concerned major impact 92 Congress wary reopening farm bill Congressional sources time study implications broad 92 The timing proposal aide House Agriculture committee However Congressional sources expect broader 92 provision emerge House Agriculture committee faced month spending cuts agriculture budget fiscal 1988 deficit reduction package Gene Moos aide House Majority leader Tom Foley Wash predicted agriculture share budget cuts exceed billion dlrs broader 92 resurrected Congressional Budget Office Reagan administration estimate result budget savings Agriculture Department official 92 1987 crops save 300 400 mln dlrs 1.5 billion dlrs Another factor affect 92 debate approach planting season Congressional sources Some officials late implementation 92 1987 farm program signup March 31 wheat feedgrains If Congress approved 92 sign extended reopened sources,"27,87,"
5352,ACADEMY INSURANCE GROUP INC lt ACIG 4TH QTR NET Oper shr profit ct loss 1.14 dlrs Oper net profit 435 000 loss 19.9 mln Year Oper shr loss 28 cts loss 2.78 dlrs Oper net loss 10 mln loss 46.5 mln NOTE Excludes investment gains ct share 12 cts quarter gains 10 cts share 13 cts Excludes loss discontinued operations cts share fourth quarter 1985 loss 21 cts share loss 2.72 dlrs,"84, 61,"
3607,JAMAICA AGREES DRAFT BANK DEBT RESCHEDULING Jamaica agreed principle bank advisory committee rescheduling 181 mln dlrs foreign commercial bank debt falling 1987 1989 Jamaican Information Service Repayments debt stretched 12 grace percentage London Interbank Offered Rate Libor The margin restructured debt cut The package save Jamaica 3.3 mln dlrs Prime Minister Edward Seaga led Jamaican delegation called terms favourable country The agreement principle bank advisory committee led Bank Nova Scotia lt BNO TO days Jamaica concluded 125.5 mln dlr rescheduling accord Paris Club creditor nations That pact International Monetary Fund IMF approval March 85 mln special drawing rights standby arrangement 40.9 mln sdr drawing compensatory financing facility Of Jamaica foreign debt 3.3 billion dlrs 12 pct owed commercial banks Seaga yesterday reaffirmed government policy seeking bank loans REUTER ...,"36,"
4092,FIDELITY NATIONAL FINANCIAL INC lt FNF 1ST QTR Jan 31 Shr profit 49 cts loss Net profit 360 000 loss 241 000 Revs 20.8 mln 14.3 mln Avg shrs 760 000 970 000,"22,"
4189,NORTH AMERICAN lt NAHL SEES RECORD FOURTH QTR North American Holding Corp expects record fourth quarter earnings sales exceed 10 mln dlrs For fourth quarter March 30 1986 company reported net income 631 720 dlrs sales 5.2 mln dlrs It expects revenues exceed 30 mln dlrs For fiscal 1986 North American reported net loss 126 900 dlrs sales 12.8 mln dlrs,"22,"
3860,LAMSON SESSIONS lt LMS DROPS RAIL PARTS OPERATIONS Lamson Sessions Co decided discontinue operations Youngstown Steel Door maker components equipment railroad freight cars The company unit sold included discontinued operations 1986 announced earlier The company reported loss continuing operations 2.5 mln dlrs 1985 profit 1.2 mln dlrs For discontinued operations reported loss 9.5 mln dlrs compared earlier loss 922 000 dlrs,"89, 67,"
5510,SYNTHETECH lt NZYM ENDS SOUTHWEST PHOTO TALKS Synthetech Inc discontinued negotiations acquiring Southwest Photo chem Inc Pomona Calif The company cited irreconcilable differences financial structure deal It Southwest Photo proposed change terms outlined letter intent signed month,"1,"
3426,BERMUDA STAR LINE lt BSL TO MAKE ACQUISITION Bermuda Star Line Inc agreed principle acquire 815 passenger SS Liberte Barnstead Shipping Ltd New York Montreal Northeast Passages cruises starting summer The company conclude lease financing financing purchase 23 500 ton vessel delivered April renamed Canada Star Terms disclosed,"72,"
4050,ISCO INC lt ISKO 2ND QTR ENDS JAN 30 NET Shr 12 cts 13 cts Net 414 968 449 533 Revs 726 722 276 627 Six mths Shr 23 cts 33 cts Net 779 981 116 857 Revs 11.3 mln 11.3 mln,"22,"
